Calendario[Mês/Ano];Ramo_Atividade;Pais;Regiao;FATO[P.NF.OperacaoFini];Cliente;UF;Linha_Producao;Gramagem;Macro_Formato;Nome_Produto;Grupo_Produto;Tipo_Produto;Municipio;Canal;Gerente_Regional;Vendedor;Cod_Produto;Quantidade;Valor_Total;Peso_Liquido;Data_SellIn;Ano_Mes
abr 2023;DISTRIBUIDORES;BRASIL;SUDESTE;Venda;ONTARGET;SP;PASTILHAS;14 G;MONOPORÇAO;PAST FINI MENTA 12X40X14G;PASTILHAS 12X40X14G;OUTROS;BARUERI;DISTRIBUIDORES;TERRITORIO SP;DISTR ONTARGET - SP;110014F08501;40;6891,99;268,80;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;PASTILHAS;14 G;MONOPORÇAO;PAST FINI MENTA 12X40X14G;PASTILHAS 12X40X14G;OUTROS;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;110014F08501;60;13141,80;403,20;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;PASTILHAS;14 G;MONOPORÇAO;PAST FINI MENTA 12X40X14G;PASTILHAS 12X40X14G;OUTROS;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;110014F08501;60;13141,80;403,20;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;PASTILHAS;14 G;MONOPORÇAO;PAST FINI HORTELA 12X40X14G;PASTILHAS 12X40X14G;OUTROS;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;110014F08601;30;6570,90;201,60;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;PASTILHAS;14 G;MONOPORÇAO;PAST FINI HORTELA 12X40X14G;PASTILHAS 12X40X14G;OUTROS;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;110014F08601;30;6570,90;201,60;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUDESTE;Venda;ONTARGET;SP;PASTILHAS;14 G;MONOPORÇAO;PAST FINI MORAN MENTO 12X40X14;PASTILHAS 12X40X14G;OUTROS;BARUERI;DISTRIBUIDORES;TERRITORIO SP;DISTR ONTARGET - SP;110014F08701;28;6254,36;188,16;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;PASTILHAS;14 G;MONOPORÇAO;PAST FINI MORAN MENTO 12X40X14;PASTILHAS 12X40X14G;OUTROS;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;110014F08701;20;1616,22;134,40;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;PASTILHAS;14 G;MONOPORÇAO;PAST FINI MORAN MENTO 12X40X14;PASTILHAS 12X40X14G;OUTROS;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;110014F08701;60;13141,80;403,20;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;PASTILHAS;14 G;MONOPORÇAO;PAST FINI MORAN MENTO 12X40X14;PASTILHAS 12X40X14G;OUTROS;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;110014F08701;60;13141,80;403,20;2023-04-01;2023-04
abr 2023;DISTRIBUIDORES;BRASIL;SUL;Venda;CBN DISTRIBUIDORA;PR;REGALIZ;15 G;MONOPORÇAO;TUBES MORANGO CITR 12X12X15G;REGALIZ 12X12X15G;REGALIZ;SAO JOSE DOS PINHAIS;DISTRIBUIDORES;TERRITORIO SUL;DIST CBN;111020T03010;300;23601,00;648,00;2023-04-01;2023-04
