Ano/Mês;Agente_Distribuicao;UF_PDV;Cidade_PDV;Segmentacao_Mtrix;Cod_Produto;Nome_Produto;Valor_SellThrough;Unidades_SellThrough;Caixas_SellThrough;Data;Ano_Mes
2023-11-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111080C01506;CHICLE MELANCIA 12X80G;28,92;6;0,50;2023-11-01;2023-11
2023-11-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111080C01606;CHICLE OVOS DINOSSAURO 12X80G;28,92;6;0,50;2023-11-01;2023-11
2023-11-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111080C01706;CHICLE SALADA FRUTAS 12X80G;28,92;6;0,50;2023-11-01;2023-11
2023-11-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111100A04003;AROS DE MORANGO 12X80G;28,92;6;0,50;2023-11-01;2023-11
2023-11-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111100M12002;MINHOCAS BRILHO 12X80G;28,92;6;0,50;2023-11-01;2023-11
2023-11-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111100M13003;MINHOCAS CITRICA 12X80G;28,92;6;0,50;2023-11-01;2023-11
2024-03-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;110014F08501;PAST FINI MENTA 12X40X14G;25,82;40;0,08;2024-03-01;2024-03
2024-03-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;110014F08601;PAST FINI HORTELA 12X40X14G;25,82;40;0,08;2024-03-01;2024-03
2024-03-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;110014F08701;PAST FINI MORAN MENTO 12X40X14;25,82;40;0,08;2024-03-01;2024-03
2024-03-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111080C01706;CHICLE SALADA FRUTAS 12X80G;57,72;12;1,00;2024-03-01;2024-03
2024-03-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111080M09001;MARSH.TORCAO 12X80G;57,72;12;1,00;2024-03-01;2024-03
2024-08-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111080C01706;CHICLE SALADA FRUTAS 12X80G;58,80;12;1,00;2024-08-01;2024-08
2024-08-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;111080M09001;MARSH.TORCAO 12X80G;58,80;12;1,00;2024-08-01;2024-08
2024-08-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;113017T12702;TUBES MORANGO CB 12X12X15G;10,20;12;0,08;2024-08-01;2024-08
2024-08-01;ONTARGET;SP;MOGI DAS CRUZES;LOJAS DE CONVENIENCIA;113017T13202;TUBES PINTA LINGUA 12X12X15G;10,20;12;0,08;2024-08-01;2024-08
